p0,cutoff_label,cutoff_observations,states_compared,agreement_rate,disagreement_rate,demand_weighted_disagreement_rate,heuristic_only_product2_rate,best_response_only_product2_rate,best_response_product2_share,heuristic_product2_share,best_response_demand_weighted_product2_share,heuristic_demand_weighted_product2_share,initial_best_response_product,initial_heuristic_product,initial_q_gap_product2_minus_product1,initial_one_step_demand_gain_success_vs_failure,initial_one_step_lookahead_benefit,initial_one_step_net_benefit,one_step_lookahead_demand_value
0.1,all_states,100,5151,0.9537953795379538,0.0462046204620462,0.024539581575260233,0.029314696175499904,0.0168899242865463,0.08270238788584741,0.095127159774801,0.023443454941435335,0.04663549185765792,1,2,-0.15611652422119704,0.17999999999999994,1.2995999999999983,0.6995999999999983,18.999999999999982
0.1,safe_interior,90,4186,0.9491161012900143,0.050883898709985664,0.02752431283585709,0.03248924988055423,0.01839464882943144,0.08910654562828475,0.10320114667940755,0.024464242800075458,0.050680957675271344,1,2,-0.15611652422119704,0.17999999999999994,1.2995999999999983,0.6995999999999983,18.999999999999982
0.15,all_states,100,5151,0.9491360900795962,0.05086390992040381,0.025823844794936796,0.0283440108716754,0.022519899048728403,0.09493302271403611,0.10075713453698311,0.030514522347232852,0.053132440785738526,1,2,-0.0002742853994313066,0.2550000000000001,1.841099999999999,1.241099999999999,18.999999999999982
0.15,safe_interior,90,4186,0.9426660296225513,0.05733397037744864,0.02931420891961289,0.03177257525083612,0.025561395126612516,0.10463449593884376,0.11084567606306736,0.03253792076936381,0.058501371197580414,1,2,-0.0002742853994313066,0.2550000000000001,1.841099999999999,1.241099999999999,18.999999999999982
0.2,all_states,100,5151,0.9499126383226558,0.050087361677344205,0.025595084216497397,0.025431954960201904,0.0246554067171423,0.10017472335468841,0.10095127159774801,0.03733680334242073,0.05763484347512878,2,2,0.13604255176213798,0.31999999999999995,2.310399999999998,1.7103999999999977,18.999999999999982
0.2,safe_interior,90,4186,0.9433827042522694,0.05661729574773053,0.02886197838777761,0.02818920210224558,0.028428093645484948,0.11275680840898232,0.11251791686574296,0.04105563795249546,0.06424804184661442,2,2,0.13604255176213798,0.31999999999999995,2.310399999999998,1.7103999999999977,18.999999999999982
0.25,all_states,100,5151,0.9549602019025432,0.045039798097456805,0.02485760696527638,0.022519899048728403,0.022519899048728403,0.09959231217239371,0.09959231217239371,0.04300878272977808,0.06121312742518174,2,2,0.2542478508769399,0.375,2.707499999999998,2.1074999999999977,18.999999999999982
0.25,safe_interior,90,4186,0.9486383182035356,0.05136168179646441,0.028158033385166037,0.02508361204013378,0.026278069756330624,0.11395126612517917,0.11275680840898232,0.048418939448502986,0.06926451898542313,2,2,0.2542478508769399,0.375,2.707499999999998,2.1074999999999977,18.999999999999982
0.3,all_states,100,5151,0.9629198213939041,0.0370801786060959,0.02343884185191547,0.019996117258784703,0.0170840613473112,0.0918268297417977,0.09473888565327121,0.046383730638435726,0.06335663184014538,2,2,0.3712169078744747,0.42000000000000004,3.0323999999999973,2.4323999999999972,18.999999999999982
0.3,safe_interior,90,4186,0.9569995222169135,0.04300047778308648,0.02694583227610946,0.022455805064500716,0.020544672718585764,0.10750119445771619,0.10941232680363115,0.05377331445316106,0.07319920380859213,2,2,0.3712169078744747,0.42000000000000004,3.0323999999999973,2.4323999999999972,18.999999999999982
