p0,rep,A_market_share,product2_rate_when_A_chosen,A_success_rate_when_chosen,avg_profit_per_period,discounted_profit,final_successes,final_failures,final_posterior_mean
0.1,0,0.999,0.002002002002002002,0.3663663663663664,0.9489500000000165,46.452979920058944,366,633,0.36663336663336665
0.1,1,1.0,0.004,0.34,0.9498000000000166,47.31495023987457,340,660,0.3403193612774451
0.1,2,1.0,0.002,0.368,0.9499000000000166,47.40099992005894,368,632,0.36826347305389223
0.1,3,0.998,0.0070140280561122245,0.3246492985971944,0.9477500000000165,45.32915263990686,324,674,0.325
0.1,4,1.0,0.004,0.337,0.9498000000000166,47.31495023987457,337,663,0.3373253493013972
0.1,5,1.0,0.002,0.372,0.9499000000000166,47.40099992005894,372,628,0.3722554890219561
0.1,6,0.999,0.002002002002002002,0.35135135135135137,0.9489500000000165,46.470979920058944,351,648,0.3516483516483517
0.1,7,1.0,0.002,0.335,0.9499000000000166,47.40099992005894,335,665,0.33532934131736525
0.1,8,1.0,0.003,0.351,0.9498500000000166,47.35580388021894,351,649,0.35129740518962077
0.1,9,0.998,0.00501002004008016,0.34468937875751504,0.9478500000000165,45.442126795556604,344,654,0.345
0.1,10,0.998,0.002004008016032064,0.3246492985971944,0.9480000000000165,46.35357665156133,324,674,0.325
0.1,11,1.0,0.003,0.355,0.9498500000000166,47.35580388021894,355,645,0.35528942115768464
0.1,12,1.0,0.002,0.353,0.9499000000000166,47.40099992005894,353,647,0.3532934131736527
0.1,13,1.0,0.007,0.339,0.9496500000000165,47.184713693039946,339,661,0.3393213572854291
0.1,14,1.0,0.002,0.346,0.9499000000000166,47.40099992005894,346,654,0.3463073852295409
0.1,15,1.0,0.007,0.353,0.9496500000000165,47.184713693039946,353,647,0.3532934131736527
0.1,16,0.999,0.007007007007007007,0.34934934934934936,0.9487000000000166,46.26503354201983,349,650,0.34965034965034963
0.1,17,0.999,0.002002002002002002,0.35435435435435436,0.9489500000000165,46.452979920058944,354,645,0.3546453546453546
0.1,18,1.0,0.002,0.341,0.9499000000000166,47.40099992005894,341,659,0.3413173652694611
0.1,19,1.0,0.002,0.368,0.9499000000000166,47.40099992005894,368,632,0.36826347305389223
0.1,20,1.0,0.002,0.351,0.9499000000000166,47.40099992005894,351,649,0.35129740518962077
0.1,21,1.0,0.002,0.323,0.9499000000000166,47.40099992005894,323,677,0.32335329341317365
0.1,22,0.999,0.004004004004004004,0.3783783783783784,0.9488500000000166,46.365281524353406,378,621,0.3786213786213786
0.1,23,1.0,0.002,0.324,0.9499000000000166,47.40099992005894,324,676,0.32435129740518964
0.1,24,1.0,0.005,0.328,0.9497500000000166,47.27065812083137,328,672,0.3283433133732535
0.1,25,1.0,0.002,0.338,0.9499000000000166,47.40099992005894,338,662,0.3383233532934132
0.1,26,1.0,0.004,0.333,0.9498000000000166,47.30778388021894,333,667,0.3333333333333333
0.1,27,1.0,0.004,0.357,0.9498000000000166,47.30778388021894,357,643,0.35728542914171657
0.1,28,1.0,0.002,0.338,0.9499000000000166,47.40099992005894,338,662,0.3383233532934132
0.1,29,0.999,0.003003003003003003,0.34134134134134136,0.9489000000000166,46.42392032005895,341,658,0.34165834165834164
0.1,30,1.0,0.003,0.31,0.9498500000000166,47.36481003402932,310,690,0.31037924151696605
0.1,31,1.0,0.003,0.323,0.9498500000000166,47.35580388021894,323,677,0.32335329341317365
0.1,32,1.0,0.002,0.344,0.9499000000000166,47.40099992005894,344,656,0.344311377245509
0.1,33,1.0,0.002,0.345,0.9499000000000166,47.40099992005894,345,655,0.34530938123752497
0.1,34,1.0,0.002,0.374,0.9499000000000166,47.40099992005894,374,626,0.37425149700598803
0.1,35,1.0,0.004,0.383,0.9498000000000166,47.31961399418932,383,617,0.38323353293413176
0.1,36,1.0,0.002,0.334,0.9499000000000166,47.40099992005894,334,666,0.3343313373253493
0.1,37,1.0,0.002,0.37,0.9499000000000166,47.40099992005894,370,630,0.37025948103792417
0.1,38,1.0,0.002,0.352,0.9499000000000166,47.40099992005894,352,648,0.3522954091816367
0.1,39,1.0,0.002,0.366,0.9499000000000166,47.40099992005894,366,634,0.3662674650698603
0.1,40,1.0,0.003,0.33,0.9498500000000166,47.35580388021894,330,670,0.33033932135728544
0.1,41,1.0,0.002,0.334,0.9499000000000166,47.40099992005894,334,666,0.3343313373253493
0.1,42,1.0,0.002,0.382,0.9499000000000166,47.40099992005894,382,618,0.38223552894211577
0.1,43,1.0,0.003,0.371,0.9498500000000166,47.35297992005894,371,629,0.3712574850299401
0.1,44,0.999,0.003003003003003003,0.3663663663663664,0.9489000000000166,46.408687801015745,366,633,0.36663336663336665
0.1,45,1.0,0.002,0.374,0.9499000000000166,47.40099992005894,374,626,0.37425149700598803
0.1,46,0.998,0.004008016032064128,0.3557114228456914,0.9479000000000166,45.4700356353966,355,643,0.356
0.1,47,1.0,0.006,0.361,0.9497000000000166,47.22008548451341,361,639,0.36127744510978044
0.1,48,1.0,0.005,0.355,0.9497500000000166,47.26693023987457,355,645,0.35528942115768464
0.1,49,1.0,0.002,0.336,0.9499000000000166,47.40099992005894,336,664,0.33632734530938124
0.1,50,1.0,0.002,0.356,0.9499000000000166,47.40099992005894,356,644,0.3562874251497006
0.1,51,1.0,0.004,0.349,0.9498000000000166,47.30778388021894,349,651,0.34930139720558884
0.1,52,1.0,0.002,0.321,0.9499000000000166,47.40099992005894,321,679,0.3213572854291417
0.1,53,1.0,0.003,0.381,0.9498500000000166,47.36014627971457,381,619,0.3812375249500998
0.1,54,1.0,0.004,0.351,0.9498000000000166,47.305920320058945,351,649,0.35129740518962077
